target,(1+2) EA_{r/2,2r},(1+2) EA_BMS,(1+2) EA_half,(1+2) EA_norm.,(1+2) EA_var.,(1+50) EA_{r/2,2r},(1+50) EA_>0,(1+50) EA_BMS,(1+50) EA_half,(1+50) EA_L1,(1+50) EA_L3,(1+50) EA_norm.,(1+50) EA_var.,RLS
215,1,1,1,1,1,1,1,1,1,1,1,1,1,1
216,1,1,1,1,1,1,1,1,1,1,1,1,1,1.01
217,1,1,1,1,1,1,1,1,1,1,1,1.01,1,1.02
218,1,1,1,1,1,1,1.01,1,1,1,1,1.08,1.06,1.05
219,1,1,1,1,1,1,1.05,1.04,1,1.01,1,1.16,1.23,1.06
220,1,1,1,1,1,1,1.54,1.2,1,1.52,1,1.51,1.52,1.07
221,1,1,1,1,1,1,1.54,1.51,1,1.83,1,1.51,1.6,1.09
222,1,1,1,1,1.01,1,1.63,1.51,1,2.05,1,1.51,1.77,1.1
223,1,1,1,1,1.05,1,1.66,1.58,1,2.05,1,1.52,2.22,1.13
224,1,1,1,1,1.07,1,2.06,2.02,1,2.54,1,1.57,2.54,1.17
225,1,1,1,1.01,1.1,1,2.53,2.05,1.02,2.8,1.01,2.02,2.56,1.21
226,1,1.01,1.08,1.03,1.12,1,2.85,2.05,1.55,3.31,1.44,2.02,2.67,1.25
227,1,1.04,1.1,1.11,1.14,1,3.61,2.05,1.91,3.98,1.44,2.03,3.58,1.29
228,1,1.12,1.14,1.21,1.19,1,4.35,2.22,2.57,4.59,1.51,2.59,4.15,1.37
229,1,1.17,1.25,1.3,1.25,1,4.9,2.51,3.78,5.32,1.85,3.32,5.11,1.48
230,1,1.25,1.3,1.35,1.34,1.02,5.91,2.57,4.63,5.97,2.58,4.05,5.16,1.54
231,1.05,1.34,1.36,1.44,1.47,1.17,7.05,2.89,5.46,6.36,3.41,4.92,7.12,1.59
232,1.05,1.46,1.46,1.56,1.49,1.32,9.53,3.23,6.12,7.23,4.22,5.45,7.22,1.64
233,1.07,1.54,1.62,1.8,1.7,1.68,11.06,3.64,7.22,8.88,4.87,6.57,8.47,1.74
234,1.17,1.74,1.71,2.02,1.82,1.96,13.88,4.36,7.72,11.18,5.92,7.81,9.32,1.93
235,1.17,1.88,2.06,2.19,1.96,2.2,15.69,4.86,8.29,12.97,7.56,8.27,9.83,2.06
236,1.32,1.98,2.28,2.35,2.27,2.98,19.32,5.9,9.47,14.83,8.17,9.72,10.75,2.23
237,1.48,2.13,2.55,2.56,2.45,3.69,22.13,7.54,10.5,16.56,9.14,10.19,11.85,2.42
238,1.72,2.27,2.85,2.8,2.82,4.41,25.57,8.82,12.55,19.15,10.54,12.66,13.4,2.58
239,2,2.47,3.14,3.12,3.12,4.97,28.45,10.39,13.86,21.13,12.33,14.77,14.47,2.83
240,2.23,2.66,3.56,3.49,3.62,6.37,33.56,12.67,15.61,24.44,14.46,16.78,15.99,3.17
241,2.38,3.09,3.93,4.2,4.05,7.19,36.59,15.27,18.15,26.55,15.59,17.88,19.09,3.49
242,2.63,3.62,4.36,4.67,4.67,8.4,40.44,16.76,21.01,29.86,19.29,19.79,20.25,4
243,2.93,4.04,5,5.28,5.35,10.94,46.21,18.68,22.11,33.86,21.98,24.28,23.45,4.48
244,3.24,4.39,5.55,5.96,5.92,13.57,53.06,21.12,25.35,36.81,24.08,27.44,24.49,5.11
245,3.63,4.97,6.2,6.73,6.78,16.91,58.15,23.59,29.46,43.84,26.86,32.42,28.29,5.64
246,3.94,5.62,6.82,7.52,7.77,20.53,66.04,27.07,32.16,48.85,29.64,36.12,32.22,6.39
247,4.44,6.38,7.67,8.48,8.74,23.75,73.5,30.6,36.5,53.68,33.32,39.84,35.19,7.14
248,4.97,7.11,8.76,9.32,9.75,27.71,82.32,34.47,42.82,57.3,37.98,45.22,39.39,7.97
249,5.71,8.18,9.5,10.34,11.02,32.78,91.39,40.28,48.08,62.99,43.67,50.87,47.01,9.01
250,6.39,8.98,10.58,11.43,11.75,38.49,100.65,45.1,53.74,70.81,47.96,57.17,53.6,9.89
251,7.09,10.4,11.65,12.6,13.16,44.56,110.2,52.2,60.23,76.33,52.83,63.22,58.95,10.89
252,7.92,11.6,12.97,13.94,14.2,49.61,121.18,59.75,64.91,83.7,57.29,68.48,66.43,12.02
253,8.88,12.96,14.21,15.06,15.27,55.02,129.65,66.19,71.37,90.61,62.98,74.27,77.79,13.16
254,9.76,14.28,15.31,16.67,17.04,61.59,144.24,73.86,79,98.32,66.36,81.64,85.69,14.4
255,10.63,15.62,16.45,18.08,18.36,67.89,156.52,81.69,86.41,106.13,73.97,90.75,93.85,15.69
256,11.8,17.3,17.76,19.56,19.74,76.22,169.8,91.23,94.03,117.75,80.21,95.76,105.57,16.99
257,12.81,18.9,19.32,21.26,21.33,83.52,182.79,99.91,101.7,125.64,86.38,103.09,115.12,18.32
258,13.88,20.36,20.75,23.1,23.54,90.75,199.4,108.64,106.8,137.76,91.35,112.04,122.69,19.92
259,14.96,22.23,22.11,24.45,24.97,97.9,213.03,121.02,116.01,148.96,98.47,120.71,133.28,21.4
260,15.88,23.64,23.5,26.14,26.97,106.39,230.8,131.04,124.27,159.71,104.85,127,142.05,23.08
261,17.25,25.04,25.31,27.63,29.24,114.63,247.48,138.94,132.69,169.99,112.45,135.84,152.94,24.88
262,18.4,26.61,26.81,29.88,30.89,123.29,261.94,149.29,141.57,184.18,118.52,146.24,161.47,26.72
263,19.43,28.31,28.35,31.53,32.57,132.24,278.34,160.97,152.2,193.86,123.28,156.67,172.71,28.65
264,20.58,30.36,30.08,33.31,34.32,139.52,294.2,172.31,161.73,204.26,131.88,167.48,178.59,30.3
265,21.88,32.18,32.05,34.92,36.73,149.47,311.62,184.43,172.69,214.78,137.25,177.79,189.28,32.22
266,23.26,33.88,34.09,36.7,38.53,157.04,326.63,195.21,181.73,225.31,143.89,185.83,200.87,34.02
267,24.44,35.71,35.81,38.26,40.61,166.8,345.26,206.01,190.7,235.25,152.75,196.19,209.7,35.78
268,25.73,37.71,37.64,40.23,42.45,174.82,363.56,215.77,200.99,246.68,158.36,205.92,219.14,37.92
269,27.07,40.1,39.51,42.12,44.1,181.77,380.7,230.27,209.99,257.36,164.23,218.59,227.54,39.96
270,28.44,41.97,41.8,44.23,45.89,193.16,402.06,240.7,219.24,272.25,169.93,227.02,242.23,41.86
271,29.61,43.86,43.71,46.22,48.44,200.18,421.33,252.87,228.19,283.11,178.36,243.16,249.61,43.73
272,30.94,45.66,45.8,48.27,50.34,207.28,440.58,263.5,239.62,292.12,186.08,253.72,259.64,45.83
273,32.42,47.87,47.45,50.17,52.5,215.33,463.35,271.88,250.43,303.54,192.41,261.3,268.84,47.76
274,33.95,50.09,49.66,52.17,54.61,223.59,481.6,281.37,260.24,315.42,197.94,271.98,279.73,50.05
275,35.6,51.82,51.8,54.33,56.74,230.86,507.12,293.96,267.7,324.27,206.31,283.24,291.18,51.94
276,37.43,54.22,54.29,56.73,58.5,237.7,526.74,302.98,278.31,336.19,214.17,294.42,302.63,53.89
277,39.3,56.92,56.18,58.85,60.82,243.53,548.9,312.38,287.36,346.1,219.71,305.76,310.54,56.11
278,41.06,59.5,58.64,61.09,63.59,252.38,568.65,323.03,296.54,357.23,227.92,314.48,320.89,58.33
279,42.78,61.52,60.56,63.3,65.4,259.38,589.84,334.16,304.39,369.94,233.74,324.05,328.45,60.22
280,44.66,63.76,62.75,65.98,67.57,266.57,610.96,345.64,311.7,381.89,241.36,334.52,338.22,62.71
281,46.52,66.17,65.54,68.33,70.12,275.3,630.9,353.67,321.4,390.59,250,343.05,350.14,65
282,48.09,68.43,67.56,70.42,72.31,282.86,650.86,363.18,332.25,404.15,257,352.77,361.32,67.28
283,49.62,71.02,70.17,72.83,74.38,289.28,670.25,376.8,341.19,412.73,263.67,365.51,370.11,69.71
284,52.27,73.4,72.23,75.17,76.43,297.78,689.47,384.98,352.14,422.81,270.21,375.34,379.18,72.05
285,54.06,76.14,75,77.68,78.44,305.01,711.6,394.75,360.14,435.04,277.64,383.98,390.76,74.62
