target,(1+2) EA_{r/2,2r},(1+2) EA_BMS,(1+2) EA_half,(1+2) EA_norm.,(1+2) EA_var.,(1+50) EA_{r/2,2r},(1+50) EA_>0,(1+50) EA_BMS,(1+50) EA_half,(1+50) EA_L1,(1+50) EA_L3,(1+50) EA_norm.,(1+50) EA_var.,RLS
935,1,1,1,1,1,1,1,1,1,1,1,1,1,1
936,1,1,1,1,1,1,1,1,1,1,1,1,1,1.04
937,1,1,1,1,1,1,1,1,1,1,1,1,1,1.05
938,1,1,1,1,1,1,1,1,1,1,1,1,1,1.07
939,1,1,1,1,1,1,1,1,1,1,1,1,1,1.1
940,1,1,1,1,1,1,1,1,1.01,1,1,1,1,1.12
941,1,1,1,1,1,1,1,1,1.44,1,1,1,1,1.13
942,1,1,1,1,1,1,1,1,1.5,1,1,1,1,1.14
943,1,1,1,1.03,1,1,1,1,1.52,1,1,1,1,1.15
944,1,1,1,1.07,1,1,1,1,1.52,1,1,1,1,1.16
945,1,1,1,1.09,1,1,1,1.02,1.52,1,1,1,1,1.18
946,1,1,1,1.11,1,1,1,1.32,1.82,1,1,1,1,1.2
947,1,1,1,1.13,1,1,1,1.56,2.01,1,1.01,1,1,1.24
948,1,1,1,1.14,1,1,1,1.7,2.01,1,1.32,1,1,1.27
949,1,1,1,1.15,1,1,1,2.47,2.14,1,1.49,1,1,1.35
950,1,1,1,1.15,1,1.05,1,2.62,2.14,1,1.53,1,1,1.42
951,1.03,1,1.01,1.2,1,1.05,1,2.65,2.53,1.01,1.79,1.02,1.01,1.47
952,1.05,1,1.08,1.2,1,1.29,1,3.13,2.53,1.54,1.79,1.07,1.03,1.49
953,1.07,1,1.17,1.23,1,1.29,1,3.56,2.64,2.37,1.87,1.54,1.52,1.55
954,1.08,1,1.18,1.25,1,1.51,1,3.56,2.66,2.79,1.95,1.62,1.52,1.61
955,1.09,1,1.24,1.3,1.02,1.51,1,3.78,3.22,3.49,2.33,1.76,1.57,1.68
956,1.09,1,1.37,1.31,1.05,1.51,1.02,3.78,3.53,4.19,2.89,2.01,1.58,1.83
957,1.09,1,1.45,1.32,1.07,1.82,1.06,3.78,3.53,5.06,2.89,2.07,2.23,1.91
958,1.11,1,1.52,1.32,1.07,2.28,1.28,3.78,3.79,5.72,3.33,2.12,2.36,2.01
959,1.14,1.05,1.59,1.36,1.11,3.01,1.57,4.52,3.94,6.49,3.59,2.51,2.67,2.06
960,1.19,1.08,1.69,1.4,1.11,3.38,1.6,4.53,4.06,7.79,4.2,3,3.3,2.14
961,1.22,1.08,1.76,1.43,1.13,4.06,2.05,4.78,4.16,8.17,4.44,3.6,4.18,2.29
962,1.25,1.09,1.87,1.48,1.15,4.15,2.57,5.74,4.19,8.8,5.57,3.86,4.45,2.34
963,1.29,1.13,1.9,1.56,1.17,4.35,3.04,7.07,4.99,10.2,5.57,3.97,4.86,2.41
964,1.32,1.29,2,1.61,1.2,4.77,3.55,7.5,5.58,11.06,6.36,4.81,5.76,2.48
965,1.36,1.38,2.05,1.68,1.32,5.13,4.45,9.21,6.09,12.44,6.77,5.07,6.63,2.63
966,1.39,1.46,2.15,1.77,1.34,5.91,4.99,11,7.24,13.58,7.39,5.12,6.87,2.72
967,1.47,1.6,2.36,1.78,1.4,6.31,5.64,11.76,7.88,14.33,7.39,6.03,7.34,2.82
968,1.71,1.68,2.48,1.86,1.45,7.43,6.3,12.16,8.82,15.43,7.73,6.54,8.34,2.88
969,1.76,1.78,2.61,1.88,1.49,8.41,7.6,13.81,9.77,16.53,8.08,7.59,8.74,2.94
970,1.9,1.86,2.72,2.08,1.54,9.33,8.02,15.25,10.72,17.7,8.31,8.89,9.53,3.07
971,1.97,2.08,2.88,2.29,1.57,11.03,9.43,16.24,11.86,18.39,8.84,9.9,11.04,3.23
972,2.04,2.17,3.01,2.39,1.62,12.13,11.24,17.71,12.85,19.18,10.38,11.25,12.21,3.47
973,2.18,2.38,3.31,2.44,1.73,12.69,12.36,18.91,13.86,20.47,10.62,12.23,13.18,3.69
974,2.24,2.5,3.63,2.63,1.9,13.1,13.91,21.08,14.39,22.53,12.32,13.45,14.11,3.9
975,2.41,2.69,3.85,2.78,2,15.1,16.08,22.24,16.09,23.7,13.27,15.02,15.62,4.12
976,2.62,2.81,4.07,2.96,2.18,16.37,17.74,24.86,17.42,25.7,14.08,15.51,16.59,4.3
977,2.88,2.97,4.34,3.11,2.3,17.55,20.99,26.39,18.06,27.43,14.95,16.23,18,4.47
978,3.05,3.12,4.74,3.24,2.47,18.19,21.92,28.01,20.09,29.8,16.59,18.77,19.75,4.75
979,3.17,3.39,5.09,3.49,2.64,19.91,23.79,30.77,21.22,32.13,18.73,20.5,21.22,5.07
980,3.25,3.64,5.38,3.68,2.87,21.25,27.04,32.3,21.73,34.62,20.32,21.41,22.29,5.44
981,3.45,3.87,5.63,4.03,3.24,22.33,29.35,35.14,23.74,36.16,21.64,23.12,24.33,5.77
982,3.6,4.22,5.97,4.38,3.57,23.84,32.78,37.24,25.39,38.7,22.4,26.28,27.19,6.15
983,3.76,4.54,6.41,4.69,3.92,25.35,35.45,39.59,27.68,42.13,24.69,28.55,29.27,6.5
984,3.99,4.82,6.91,5.06,4.15,26.67,37.74,40.87,31.12,45.98,26.66,31.3,31.6,6.89
985,4.35,5.16,7.38,5.44,4.52,28.11,41.01,43.83,33.41,49.88,27.84,33.88,33.82,7.32
986,4.65,5.71,7.78,5.97,4.83,29.88,45.54,47.36,36.18,52.44,29.78,37.19,36.16,7.79
987,4.91,6.27,8.42,6.56,5.24,31.37,48.31,49.31,38.59,57.02,32.33,41.2,38.79,8.33
988,5.21,6.64,8.92,7.21,5.81,33.43,53.8,51.09,40.25,62.21,35.27,43.01,43.06,8.8
989,5.51,7.38,9.46,7.96,6.36,35.01,58.81,53.51,43.35,67.94,38.08,45.14,47.46,9.24
990,5.98,8.14,10.09,8.62,6.8,36.81,63.64,57.46,46.76,71.38,41.08,49.03,49.68,9.87
991,6.26,8.96,10.89,9.39,7.43,38.82,70.5,60.46,50.2,77.78,43.71,53.88,53.48,10.46
992,6.94,9.62,11.34,9.98,7.87,40.65,74.77,63.79,53.36,82.69,46.59,57.88,56.84,10.96
993,7.38,10.38,11.88,10.56,8.44,43.9,82.31,67.74,57.54,89.79,47.73,61.76,60.45,11.57
994,7.68,11.31,12.79,11.34,8.99,45.92,87.94,70.94,60.17,92.92,49.22,65.85,64.39,12.2
995,8.1,11.95,13.47,12.06,9.75,47.96,96.55,74.78,64.65,98.13,53.6,70.56,69.84,12.95
996,8.56,12.64,14.39,12.78,10.3,50.74,103.4,79.76,69.77,102.51,57.35,75.76,72.47,13.56
997,9.08,13.42,15.14,13.62,11.34,53.31,112.68,83.81,74.26,108.2,60.62,77.56,79.44,14.3
998,9.63,14.26,16.05,14.68,12.21,55.89,122.19,87.92,77.08,113.67,64.68,83.16,83.59,15.03
999,10.14,14.98,17.2,15.49,12.8,59.12,131.57,90.78,80.09,119.08,67.13,87.74,86.97,15.83
1000,10.65,15.75,18.09,16.55,13.67,61.09,141.1,93.86,84.38,123.02,70.76,93.91,94.87,16.68
1001,11.24,16.75,19.13,17.46,14.73,64.79,151.28,98.88,88.6,130.24,74.12,97,99.57,17.54
1002,11.9,17.53,19.65,18.45,15.59,68.29,160.54,104.05,94.4,136.82,77.06,102.01,104.08,18.43
1003,12.53,18.6,20.4,19.38,16.44,70.77,170.76,110.31,99.94,141.9,81.01,107.65,108.75,19.34
1004,13.5,19.53,21.06,20.44,17.31,74.76,181.32,113.28,105.2,147.24,85.5,112.75,116.26,20.46
1005,14.3,20.37,22.21,21.28,18.23,79.49,192.39,120.11,111.65,157.71,88.3,118.87,121.77,21.59
1006,14.95,21.63,23.35,22.45,19.06,83.28,204.7,125.29,117.16,164.27,91.54,123.22,126.63,22.55
1007,15.86,22.73,24.51,23.33,20.2,86.57,214.84,129.83,122.41,171.66,95.01,129.59,135.38,23.74
1008,16.56,23.7,25.48,24.26,21.09,90.81,227.9,137.85,125.99,179.75,98.88,134.3,145.19,24.72
1009,17.19,24.96,26.69,25.58,22.5,93.95,238.21,143.5,130.94,189.39,103.44,141.42,152.2,25.92
1010,18.09,26.34,27.92,26.56,23.86,99.3,250.5,148.69,138.12,196.68,107.01,148.24,159.11,27.17
1011,19.3,27.53,29.2,27.78,24.8,104.02,262.32,155.93,144.77,207.12,112.16,152.25,172.31,28.56
1012,20.14,29.11,30.31,28.85,26.03,108.78,274.6,163.41,149.29,213.77,117.34,159.57,176.31,29.92
1013,21.03,30.31,31.48,30,27.15,114.51,287.93,170.08,154.06,222.38,121.52,164.61,183.35,31.5
1014,21.9,31.57,32.86,30.88,28.56,117.81,302.13,178.4,161.67,231.4,127.44,172.82,191.58,32.86
1015,22.8,32.77,34.16,32.25,30.11,122.67,317.38,185.11,168.1,241.36,130.46,179.84,201.42,34.58
1016,23.55,34.02,35.62,33.64,31.6,128.27,330.79,191.66,174.65,249.66,136.28,188.06,208.63,36.15
1017,24.49,35.25,36.99,34.9,32.81,133.85,343.99,197.49,183.11,259.23,139.11,194.95,217.92,37.73
1018,25.35,36.38,38.58,36.44,34.4,139.3,359.89,203.76,189.48,268.26,144.42,204.04,225.64,39.26
1019,26.28,37.84,40.02,37.9,35.73,144.39,375.25,210.06,193.87,276.58,149.2,212.36,234.14,40.86
1020,27.54,39.37,41.12,39.56,37.55,151.07,392.11,220.42,200.53,283.72,153.25,219.87,241.12,42.37
1021,28.44,41.17,42.46,41.11,39.03,156.41,406.43,228.75,207.95,292.31,159.23,226.13,246.81,44.02
1022,29.42,42.41,43.77,42.54,40.65,161.79,420.1,235.19,216.42,299.25,163.66,234.46,255.86,45.78
1023,29.93,43.81,45.26,44.59,42.85,166.38,437.47,242.61,222.25,309.72,167.42,243.67,264.48,47.72
1024,30.69,45.49,46.51,45.83,44.4,171.67,454.13,247.53,228.68,317.82,170.5,250.58,272.53,49.6
1025,31.46,47,47.74,47.81,46.07,177.83,468.94,256.44,236.07,327.9,175.6,258.33,280.27,51.32
1026,32.49,48.65,49.4,49.48,47.73,183.45,487.62,264.67,242.74,333.99,180.44,264.76,287.6,52.89
1027,33.54,50.3,51.05,51.2,49.36,189.3,504.93,272.76,252.52,345.99,185.1,274.4,296.23,54.53
1028,34.33,51.84,52.66,52.78,51,194.46,522.08,279.43,259.4,354.92,190.05,279.92,304.9,56.3
1029,35.25,53.51,54.32,54.57,52.51,198.88,537.88,287.05,265.57,362.75,193.06,286.57,312.81,58.17
1030,35.91,54.92,55.89,55.79,54.12,205.23,556.06,293.22,274.29,371.42,198.31,293.56,321.34,59.85
1031,37.13,56.61,57.28,57.34,55.74,210.86,574.91,303.58,280,379.19,203.58,303.23,330.38,61.69
1032,38.29,58.56,58.91,59.13,57.39,218.36,593.66,311.62,288.13,385.36,208.21,310.16,337.56,63.55
1033,39.34,60.18,60.62,60.42,58.91,225.04,611.96,321.87,293.48,395.16,213.16,320.28,344.75,65.41
1034,40.27,62.21,62.26,61.7,60.43,230.68,630.11,327.93,303.62,401.46,217.18,330.34,355.76,67.3
1035,41.1,63.86,63.72,63.15,61.85,236.21,646.68,334.73,310.58,411.75,221.27,336.28,363.75,69.2
1036,41.82,65.1,65.38,64.49,63.5,242.56,663.66,343.55,316.96,421.5,225.45,343.12,372.71,70.94
1037,43.03,66.21,67.24,66.14,65.34,249.18,685.2,350.36,321.83,431.04,231.19,348.97,378.89,72.66
1038,44.24,67.66,68.77,67.52,67.25,254.85,702.23,357.81,328.47,438.5,236.15,359.71,388.64,74.36
1039,45.17,69.2,70.99,69.2,68.6,260.86,721.37,366.45,335.28,447.33,240.38,368.16,397.8,76.24
1040,46.15,70.56,72.71,70.84,70.16,266.68,741.98,370.67,346.26,455.12,243.92,376.7,403.88,78.34
