"algId","target","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
"(1+50) EA_var.",2361,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2362,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2363,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2364,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2365,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2366,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2367,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2368,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2369,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2370,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2371,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2372,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2373,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",2374,1.01,1,0.1,1,1,1,1,1,1,1,1,1,1.01,100,1
"(1+50) EA_var.",2375,1.29,1,2.9,1,1,1,1,1,1,1,1,1,1.29,100,1
"(1+50) EA_var.",2376,1.51,1,5.1,1,1,1,1,1,1,1,1,1,1.51,100,1
"(1+50) EA_var.",2377,1.51,1,5.1,1,1,1,1,1,1,1,1,1,1.51,100,1
"(1+50) EA_var.",2378,1.53,1,5.3,1,1,1,1,1,1,1,1,1,1.53,100,1
"(1+50) EA_var.",2379,2.01,1,10.1,1,1,1,1,1,1,1,1,1,2.01,100,1
"(1+50) EA_var.",2380,2.01,1,10.1,1,1,1,1,1,1,1,1,1,2.01,100,1
"(1+50) EA_var.",2381,2.13,1,11.3,1,1,1,1,1,1,1,1,1,2.13,100,1
"(1+50) EA_var.",2382,2.13,1,11.3,1,1,1,1,1,1,1,1,1,2.13,100,1
"(1+50) EA_var.",2383,2.54,1,15.4,1,1,1,1,1,1,1,1,1,2.54,100,1
"(1+50) EA_var.",2384,2.58,1,15.8,1,1,1,1,1,1,1,1,1,2.58,100,1
"(1+50) EA_var.",2385,2.58,1,15.8,1,1,1,1,1,1,1,1,1,2.58,100,1
"(1+50) EA_var.",2386,2.73,1,17.3,1,1,1,1,1,1,1,1,1,2.73,100,1
"(1+50) EA_var.",2387,3.06,1,20.6,1,1,1,1,1,1,1,1,1,3.06,100,1
"(1+50) EA_var.",2388,3.07,1,20.5992326031429,1,1,1,1,1,1,1,1,1,3.07,100,1
"(1+50) EA_var.",2389,3.22,1,22.0992161294321,1,1,1,1,1,1,1,1,1,3.22,100,1
"(1+50) EA_var.",2390,3.72,1,22.6305773303076,1,1,1,1,1,1,1,1,1,3.72,100,1
"(1+50) EA_var.",2391,3.92,1,24.5832660502418,1,1,1,1,1,1,1,1,1,3.92,100,1
"(1+50) EA_var.",2392,4.03,1,25.6603514466119,1,1,1,1,1,1,1,1,1,4.03,100,1
"(1+50) EA_var.",2393,4.59,1,27.497693199851,1,1,1,1,1,1,1,1,1,4.59,100,1
"(1+50) EA_var.",2394,4.59,1,27.497693199851,1,1,1,1,1,1,1,1,1,4.59,100,1
