target,(1+2) EA_{r/2,2r},(1+2) EA_>0,(1+2) EA_BMS,(1+2) EA_half,(1+2) EA_norm.,(1+2) EA_var.,(1+50) EA_{r/2,2r},(1+50) EA_>0,(1+50) EA_BMS,(1+50) EA_half,(1+50) EA_L1,(1+50) EA_L3,(1+50) EA_norm.,(1+50) EA_var.,RLS
4911,3.32,1.41,1.42,1.61,3.08,1.5,8.54,11.05,8.72,6.64,5.69,3.88,10.01,17.66,2.58,,
4912,3.39,1.49,1.48,1.64,3.19,1.55,9.11,11.49,10.26,6.65,6,4.21,10.43,18.87,2.7,,
4913,3.49,1.49,1.54,1.73,3.29,1.7,9.39,11.56,11.14,7.72,6.01,4.57,10.7,19.28,2.83,,
4914,3.56,1.53,1.59,1.79,3.4,1.78,10.05,11.65,11.27,8.29,6.29,5.08,11.12,19.9,2.97,,
4915,3.64,1.57,1.64,1.87,3.58,1.81,10.22,11.73,11.8,8.78,6.66,5.42,11.83,20.57,3.07,,
4916,3.65,1.59,1.68,1.93,3.69,1.86,10.84,12.29,11.99,9.02,6.76,7.14,12.67,20.84,3.18,,
4917,3.72,1.65,1.77,2.05,3.81,1.91,12.48,12.54,12.95,9.33,7.62,7.38,12.68,21.38,3.31,,
4918,3.81,1.69,1.9,2.18,3.88,1.97,12.64,12.69,13.79,9.62,7.68,8.2,12.9,21.54,3.4,,
4919,3.91,1.72,1.99,2.31,4.01,2.01,13.57,13.12,14.74,10.02,7.75,8.65,13.36,22.04,3.53,,
4920,4.02,1.79,2.03,2.39,4.09,2.13,14.37,13.74,15.07,10.21,8.22,9.15,14.37,22.42,3.64,,
4921,4.06,1.88,2.16,2.52,4.24,2.17,14.9,14.58,15.77,11.11,9.01,9.97,15.07,23.4,3.73,,
4922,4.12,1.92,2.23,2.65,4.3,2.26,15.71,14.61,16.33,11.46,9.01,10.51,15.8,23.74,3.93,,
4923,4.19,1.96,2.27,2.76,4.45,2.34,16.26,15.98,16.99,11.46,9.44,11.09,16.27,23.9,4.15,,
4924,4.31,2.1,2.39,3,4.55,2.51,17.26,16.33,17.8,11.94,9.89,11.61,16.38,24.28,4.27,,
4925,4.47,2.19,2.62,3.19,4.68,2.59,17.85,17.3,18.48,12.08,10.82,12.3,16.93,24.51,4.56,,
4926,4.59,2.32,2.67,3.29,4.83,2.75,18.6,18.56,19.77,12.67,11.52,12.98,17.97,25.81,4.81,,
4927,4.7,2.36,2.78,3.42,4.85,2.86,18.82,18.79,20.08,13.18,11.97,13.44,18.14,26.3,4.97,,
4928,4.76,2.41,2.83,3.59,4.96,2.93,19.61,20.37,20.46,13.19,12.27,13.48,19.32,27.77,5.19,,
4929,4.92,2.41,2.9,3.8,5.16,3,20.71,21.16,21.58,13.21,13.74,14.88,20.35,29.35,5.4,,
4930,5.17,2.5,3.01,3.9,5.35,3.1,22.39,22.13,21.91,14.29,13.99,15.49,21.31,30.2,5.61,,
4931,5.34,2.61,3.07,4.09,5.56,3.24,23.26,23.63,22.9,14.54,15.05,16.64,23.68,31.3,5.86,,
4932,5.4,2.72,3.22,4.22,5.78,3.33,24.27,23.93,24.16,14.56,15.44,17.9,24.64,32.09,6.27,,
4933,5.58,2.74,3.3,4.35,5.93,3.38,24.8,25.61,25.4,15.89,16.25,18.34,26.26,34.33,6.63,,
4934,5.73,2.83,3.39,4.46,6.19,3.44,25.82,26.87,26.07,16.99,18.08,18.9,27.69,35.11,6.87,,
4935,5.83,2.91,3.42,4.8,6.31,3.57,26.19,27.79,26.91,18.41,19.22,19.41,28.92,36.02,7.15,,
4936,6.01,2.96,3.5,4.9,6.51,3.64,27.65,28.55,28.19,19.47,21,20.38,30.45,37.45,7.55,,
4937,6.14,3,3.6,5.09,6.71,3.71,29.05,30.65,29.77,20.05,22.59,21.22,32.41,38.44,7.87,,
4938,6.35,3.05,3.61,5.4,6.88,3.82,30.31,31.93,29.92,21.59,22.96,21.43,33.2,40.92,8.2,,
4939,6.56,3.2,3.64,5.54,7.01,3.88,30.97,34.15,31.38,22.13,24.83,21.78,34.83,41.55,8.57,,
4940,6.82,3.3,3.78,5.72,7.27,3.99,31.73,35.46,32.21,23.36,25.84,22.48,35.23,42.22,9.16,,
4941,7.22,3.41,3.87,5.89,7.43,4.03,32.8,37.27,33.36,24.35,26.83,24.28,37.63,44.23,9.5,,
4942,7.44,3.5,4.11,6.18,7.49,4.14,34.2,38.93,35.36,24.75,28.72,24.72,39.44,45.88,9.91,,
4943,7.64,3.58,4.29,6.38,7.68,4.32,35.03,40.33,36.34,25.52,29.28,24.85,40.81,48.49,10.23,,
4944,7.76,3.61,4.4,6.6,7.89,4.46,35.64,42.37,37.24,26.49,30.9,25.59,42.58,49.67,10.61,,
4945,7.87,3.72,4.49,6.82,8.04,4.63,36.42,43.36,38.41,28.13,32.35,26.03,44.29,51.15,10.98,,
4946,8.26,3.78,4.71,7.23,8.31,4.87,37.34,45.42,38.95,29.63,33.05,26.89,44.69,52.47,11.23,,
4947,8.46,3.87,4.85,7.54,8.61,5.13,37.95,47.15,41.93,31.22,34.42,28.08,45.99,53.63,11.64,,
4948,8.83,3.95,5.12,7.82,8.89,5.39,38.84,48,42.51,31.95,35.54,28.75,46.91,54.47,11.94,,
4949,9.02,4.02,5.27,8.22,9.13,5.74,39.66,50.92,43.09,32.21,36.77,29.33,49.38,56.39,12.32,,
4950,9.2,4.17,5.39,8.64,9.35,5.98,40.8,51.71,45.13,33.74,38.45,30.06,51.08,58.15,12.72,,
4951,9.48,4.3,5.56,9.01,9.74,6.39,42.13,54.46,46.55,35.39,40.54,30.96,52.56,61.31,13.18,,
4952,9.79,4.45,5.78,9.4,10.11,6.68,43.45,56.26,48.69,36.67,43.03,32.23,54.01,61.88,13.67,,
4953,10.09,4.65,5.91,9.79,10.48,7.05,44.53,58.53,49.68,37.7,43.65,32.88,56.45,62.41,14.3,,
4954,10.41,4.76,6.09,10.31,10.73,7.41,46.05,60.97,50.29,38.15,45.81,34.31,59.16,63.79,14.9,,
4955,10.91,4.95,6.36,10.75,11.12,7.75,47.52,63.74,52.87,39.02,46.98,35.36,61,66.81,15.44,,
4956,11.28,5.2,6.51,11.14,11.4,8.02,48.81,65.73,53.38,40.44,49.99,36.36,63.18,68.32,16.17,,
4957,11.6,5.45,6.71,11.6,11.66,8.41,49.67,69.12,54.87,41.78,50.91,37.79,66.45,70.15,16.78,,
4958,11.89,5.83,6.83,12.08,12.01,8.83,50.58,72.34,56.01,42.78,52.23,38.75,68.72,72.83,17.41,,
4959,12.05,6.08,7.09,12.63,12.23,9.34,52.62,74.88,57.14,43.6,54.46,39.45,72.95,74.31,18,,
4960,12.44,6.46,7.37,13.23,12.52,9.72,54.55,80.38,58.54,45.4,56.51,40.43,75.26,76.56,18.75,,
4961,12.71,6.65,7.81,13.83,12.82,10.1,55.75,82.95,60.14,48.07,57.23,41.37,78.1,78.04,19.38,,
4962,13.07,7.03,8.15,14.31,13.18,10.45,57.75,88.27,62.84,49.13,59.57,43.21,79.76,81.41,20.03,,
4963,13.4,7.47,8.53,14.99,13.49,10.87,59.71,90.58,63.62,51.06,61.67,44.8,83.35,83.98,20.72,,
4964,13.76,7.93,8.85,15.53,13.89,11.16,60.88,94.28,65.56,52.13,63.28,46.3,85.86,85.83,21.57,,
4965,14.03,8.33,9.13,16.21,14.29,11.65,63.25,98.1,67.23,54.18,65.53,47.07,89.35,87.45,22.18,,
4966,14.34,8.82,9.69,17,14.69,11.94,64.64,101.63,69.32,55.74,67.04,48.48,92.39,89.76,22.89,,
4967,14.62,9.22,10.02,17.51,15.22,12.4,66.05,105.06,71.74,57.27,69.36,50.83,94.53,91.86,23.6,,
4968,14.78,9.67,10.36,18.19,15.74,12.9,68.09,109.31,73.42,58.15,72.76,52.35,95.93,94.54,24.29,,
4969,15.12,10.22,10.73,18.77,16.43,13.24,69.71,113.49,75.99,60.04,75.55,53.7,98.32,96.48,25.05,,
4970,15.4,10.74,11.09,19.32,16.76,13.74,72.24,118.19,77.8,62.13,79.15,55.15,102.15,99.45,25.81,,
4971,15.66,11.21,11.37,19.96,17.08,14.13,73.77,122.58,79.45,64.02,83.21,56.04,104.63,101.45,26.49,,
4972,15.92,11.69,11.79,20.61,17.55,14.58,76.37,127.02,81.24,65.38,86.67,58.03,107.59,104.07,27.29,,
4973,16.27,12.08,12.19,21.18,18.14,15.03,78.02,131.63,83.99,68.83,89.26,59.5,110.65,107.98,28.04,,
4974,16.48,12.57,12.72,21.89,18.59,15.41,80.36,136.03,86.06,71.2,93.3,61.49,115.36,110.08,28.82,,
