"algId","target","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
"(1+50) EA_var.",38,1,1,0,1,1,1,1,1,1,1,1,1,1,100,1
"(1+50) EA_var.",39,1.02,1,0.2,1,1,1,1,1,1,1,1,1,1.02,100,1
"(1+50) EA_var.",40,1.15,1,1.40255898883851,1,1,1,1,1,1,1,1,1,1.15,100,1
"(1+50) EA_var.",41,1.67,1,5.30114338724404,1,1,1,1,1,1,1,1,2,1.67,100,1
"(1+50) EA_var.",42,2.13,1,7.27893737388427,1,1,1,1,1,1,1,1,9,2.13,100,1
"(1+50) EA_var.",43,2.67,1,9.44848339067378,1,1,1,1,1,1,1,1,53,2.67,100,1
"(1+50) EA_var.",44,3.14,1,9.95547664110138,1,1,1,1,1,1,1,6,53,3.14,100,1
"(1+50) EA_var.",45,4.36,1,13.8224820528373,1,1,1,1,1,1,5,18,54,4.36,100,1
"(1+50) EA_var.",46,9.03,1,20.7955196223522,1,1,1,1,1,1,42,52,73,9.03,100,1
"(1+50) EA_var.",47,11.81,1,23.8148137413534,1,1,1,1,1,2,52,55,103,11.81,100,1
"(1+50) EA_var.",48,16.92,1,30.3719966715753,1,1,1,1,1,19,55,81,103,16.92,100,1
"(1+50) EA_var.",49,22.04,1,35.2952682323843,1,1,1,1,1,52,77,102,104,22.04,100,1
"(1+50) EA_var.",50,28.17,1,40.2570164535001,1,1,1,1,1,53,102,103,122,28.17,100,1
"(1+50) EA_var.",51,36.24,3,46.1471340366656,1,1,1,1,3,60,104,110,135,36.24,100,1
"(1+50) EA_var.",52,42.6,6.5,49.5604925746549,1,1,1,1,6,78,106,127,141,42.6,100,1
"(1+50) EA_var.",53,53.27,52,53.6522387908718,1,1,1,1,52,103,122,141,155,53.27,100,1
"(1+50) EA_var.",54,65.57,58,58.0277284815395,1,1,1,2,58,107,152,155,162,65.57,100,1
"(1+50) EA_var.",55,74.97,71.5,60.4520771881632,1,1,1,6,68,116,156,160,171,74.97,100,1
"(1+50) EA_var.",56,85.99,96.5,60.7298197766222,1,1,1,52,96,138,160,169,185,85.99,100,1
"(1+50) EA_var.",57,98.84,103.5,61.9702959147169,1,1,1,53,103,152,163,192,203,98.84,100,1
"(1+50) EA_var.",58,108.29,106,62.1531661350093,1,1,2,59,106,154,178,205,210,108.29,100,1
"(1+50) EA_var.",59,123.7,122,65.2089880400863,1,1,4,102,120,161,204,215,237,123.7,100,1
"(1+50) EA_var.",60,139.87,153,61.4288871933896,1,9,53,104,153,179,205,215,255,139.87,100,1
"(1+50) EA_var.",61,152.85,160,61.1785555285972,1,11,58,107,160,203,210,223,258,152.85,100,1
"(1+50) EA_var.",62,167.2,163.5,60.8518651723141,1,52,96,140,163,206,240,255,263,167.2,100,1
"(1+50) EA_var.",63,181.13,179.5,61.3003295589869,4,63,103,153,175,209,257,263,281,181.13,100,1
"(1+50) EA_var.",64,193.57,203,59.734979516007,12,88,110,159,203,229,263,271,282,193.57,100,1
"(1+50) EA_var.",65,209.75,211,62.2935985815752,52,104,115,162,210,255,282,304,309,209.75,100,1
"(1+50) EA_var.",66,225.82,223,60.9363602457515,61,113,152,202,223,265,304,310,319,225.82,100,1
"(1+50) EA_var.",67,242.14,253,62.4548353984418,73,125,155,206,253,279,311,320,354,242.14,100,1
"(1+50) EA_var.",68,257.67,258.5,58.8677777100958,102,153,179,218,258,302,318,343,371,257.67,100,1
"(1+50) EA_var.",69,272.33,269,62.2146910124753,108,155,204,253,269,309,354,359,371,272.33,100,1
"(1+50) EA_var.",70,291.26,303,59.5519669505279,148,177,210,262,303,328,360,375,403,291.26,100,1
"(1+50) EA_var.",71,309.75,306,63.4443007127456,153,177,236,270,306,356,384,407,419,309.75,100,1
"(1+50) EA_var.",72,328.34,332,67.2209112485907,153,177,255,293,329,365,413,430,454,328.34,100,1
"(1+50) EA_var.",73,352.93,356,70.5223304415636,165,219,255,312,356,398,453,461,480,352.93,100,1
"(1+50) EA_var.",74,372.39,374,70.5532100938395,214,232,261,326,373,410,460,492,504,372.39,100,1
"(1+50) EA_var.",75,399.92,407,71.6146647134524,219,253,298,358,406,443,486,511,527,399.92,100,1
"(1+50) EA_var.",76,429.29,424.5,81.0625516050863,278,289,321,380,419,469,520,556,580,429.29,100,1
