"algId","target","mean","median","sd","2%","5%","10%","25%","50%","75%","90%","95%","98%","ERT","runs","ps"
"(1+50) EA_var.",1,31.68,1,52.727214907666,1,1,1,1,1,40,113,166,179,31.68,100,1
"(1+50) EA_var.",2,70.31,33,91.7584328549698,1,1,1,1,32,102,179,252,352,70.31,100,1
"(1+50) EA_var.",3,124.43,104.5,116.462961121257,1,1,1,30,104,168,274,344,455,124.43,100,1
"(1+50) EA_var.",4,166.27,153,119.446100012017,1,3,22,83,152,227,299,406,455,166.27,100,1
"(1+50) EA_var.",5,213.18,205,135.005228480869,1,30,64,106,205,271,387,479,512,213.18,100,1
"(1+50) EA_var.",6,254.3,238,146.017329814172,1,43,77,160,237,324,444,541,583,254.3,100,1
"(1+50) EA_var.",7,291.64,266,145.03789264544,23,85,118,184,263,364,487,569,624,291.64,100,1
"(1+50) EA_var.",8,335.26,310.5,154.078270808552,106,143,165,222,310,402,565,616,709,335.26,100,1
"(1+50) EA_var.",9,377.38,350.5,165.314501615691,137,161,178,262,348,473,616,700,803,377.38,100,1
"(1+50) EA_var.",10,421.16,399,179.167419025904,137,171,218,279,394,512,675,762,806,421.16,100,1
"(1+50) EA_var.",11,458.47,428,187.244260879535,171,215,232,319,425,537,724,770,912,458.47,100,1
"(1+50) EA_var.",12,493.54,464.5,197.084580110093,171,216,282,339,462,620,753,844,972,493.54,100,1
"(1+50) EA_var.",13,522.5,484.5,200.907008993281,174,216,296,367,484,658,770,861,991,522.5,100,1
"(1+50) EA_var.",14,553.63,527.5,207.154685530822,206,254,316,389,527,661,820,919,1034,553.63,100,1
"(1+50) EA_var.",15,595.35,562,209.095134454452,215,293,363,420,560,722,894,943,1034,595.35,100,1
"(1+50) EA_var.",16,634.41,586,216.54570492908,293,362,392,472,585,725,992,1026,1075,634.41,100,1
"(1+50) EA_var.",17,677.11,648,226.350487813332,316,387,409,498,643,807,1011,1083,1215,677.11,100,1
"(1+50) EA_var.",18,717.99,690,238.950419395516,365,392,445,507,689,862,1054,1165,1282,717.99,100,1
"(1+50) EA_var.",19,751.4,713.5,240.238139429117,365,418,467,564,710,881,1122,1171,1282,751.4,100,1
"(1+50) EA_var.",20,805.44,775,246.907062219243,392,453,509,609,773,937,1146,1218,1466,805.44,100,1
"(1+50) EA_var.",21,847.05,813,259.29400554801,392,463,554,650,812,1015,1176,1324,1466,847.05,100,1
"(1+50) EA_var.",22,898.83,837.5,277.840847365261,453,490,559,696,837,1107,1307,1386,1466,898.83,100,1
"(1+50) EA_var.",23,958.65,915,281.430055720114,453,541,606,753,913,1146,1355,1469,1570,958.65,100,1
"(1+50) EA_var.",24,1007.87,987.5,277.46750305671,510,554,695,773,979,1212,1381,1469,1584,1007.87,100,1
"(1+50) EA_var.",25,1059.34,1047.5,280.353680665381,510,589,705,810,1041,1256,1428,1570,1597,1059.34,100,1
